hotel_id,name,star,rating,review_count,price,address
122433527,明宇丽呈酒店(昆明长水国际机场店),4,4.8,4755,197,近昆明长水国际机场 · 长水中心集贸市场
134129881,泊兰庭酒店(昆明长水国际机场店),4,4.8,593,159,近昆明长水国际机场 · 滇中空港商务广场
125759216,昆明云畔客栈(滇池海埂大坝店),2,4.6,170,177,近海埂大坝 · 迎海路地铁站
132043034,龙猫精灵丨YOUNG·IS·DIEFERENT酒店(昆明老街弥勒寺地铁站店),2,4.7,267,124,近昆明老街 · 金马碧鸡坊
125771263,昆明南屏步行街老街亚朵酒店,4,4.8,5214,676,近昆明老街 · 翠湖公园
134345554,昆明官渡古镇省博物馆艺龙酒店,3,4.8,91,164,官渡古镇 · 近云南省博物馆
125423976,美豪丽致酒店(昆明长水国际机场店),4,4.7,4295,145,近昆明长水国际机场 · 大板桥地铁站
1025494,八骏大酒店(昆明火车站国贸中心店),3,4.6,2983,149,近昆明站 · 官渡广场
125244323,昆明北京路盘龙温德姆花园酒店,5,4.7,4067,398,昆明同德广场 · 昆明北市区
396416,昆明锦江大酒店,4,4.6,3613,340,近昆明老街 · 南屏步行街/金马碧鸡坊
122220444,曼居酒店(昆明长水国际机场店),4,4.8,4971,178,近昆明长水国际机场 · 长水中心集贸市场
120867846,品希酒店(昆明滇池后海融创文旅城店),3,4.7,1053,182,近昆明融创海世界 · 昆明滇池后海
127888604,昆明开臣KASION酒店,5,4.8,1756,438,近昆明站 · 昆明万象城
134034244,如家UP华驿国际酒店(昆明长水国际机场店),3,4.8,362,140,近昆明长水国际机场 · 大板桥地铁站
120813543,俊汉智慧酒店(昆明火车站塘子巷地铁站店),3,4.6,2214,134,近南屏步行街 · 昆明老街
115632377,昆明官渡海乐世界希尔顿欢朋酒店,4,4.8,3185,428,近昆明滇池国际会展中心 · 云南省博物馆
132637897,昆明·丽柏WAVESWEPT·MISTYSEA设计酒店(昆明站环城南路地铁店),4,4.8,1510,429,近昆明站 · 火车站地区
114774590,昆明长水国际机场丽呈酒店,4,4.7,5125,146,近昆明长水国际机场 · 云南司法警官职业学院
102536202,昆明翠湖丽瑞德酒店,4,4.7,8455,494,近翠湖公园 · 昆明老街
