排名,电影名,导演,主演,年份,国家/地区,评分,评价人数,简介,封面链接
13,海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,/ ... / 意大利 / 剧情 音乐,1998,蒂姆·罗斯 Tim Roth,9.3,1888996,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg
14,疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,/ 美国 / 喜剧 动画 冒险,2016,金妮弗·...,9.3,2336428,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924128964.jpg
15,三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,/ 卡... / 印度 / 剧情 喜剧 爱情 歌舞,2009,阿米尔·汗 Aamir Khan,9.2,2089088,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
16,机器人总动员,安德鲁·斯坦顿 Andrew Stanton,/ 艾丽... / 美国 / 科幻 动画 冒险,2008,本·贝尔特 Ben Burtt,9.3,1503033,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
17,放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,/ 法国 瑞士 德国 / 剧情 音乐,2004,让-巴蒂斯特·莫尼...,9.3,1481688,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
18,无间道,刘伟强 / 麦兆辉,/ 梁朝伟 Tony Leung Chiu W... / 中国香港 / 剧情 犯罪 惊悚,2002,刘德华 Andy Lau,9.3,1575154,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597979873.jpg
19,控方证人,比利·怀尔德 Billy Wilder,/ 玛琳·... / 美国 / 剧情 犯罪 悬疑 惊悚,1957,泰隆·鲍华 Tyrone Power,9.6,751746,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg
20,寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,/ 美国 / 喜剧 动画 奇幻 音乐,2017,...,9.1,2005730,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
21,大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,/ 吴孟达 Man Tat Ng... / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,1995,周星驰 Stephen Chow,9.2,1718180,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
22,熔炉,黄东赫 Dong-hyuk Hwang,/ 郑有美 Yu-mi Jung /... / 韩国 / 剧情,2011,孔侑 Yoo Gong,9.3,1040844,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
